"Código de barras",Código,Variantes,expected,counted
1000468R,1000468R,,17.0000,
1000500,1000500,,14.0000,
1000502,1000502,,41.0000,
1000504,1000504,,9.0000,
1000510,1000510,,18.0000,
1000518R,1000518R,,16.0000,
1000520,1000520,,4.0000,
1000535,1000535,,89.0000,
1000544,1000544,,5.0000,
1000558,1000558,,21.0000,
1000570,1000570,,6.0000,
1000583,1000583,,48.0000,
1000592,1000592,,8.0000,
1000600,1000600,,4.0000,
1000634,1000634,"1.3 8v D",-1.0000,
1000656,1000656,,290.0000,
1000658,1000658,,60.0000,
1000675R,1000675R,,31.0000,
1000702R,1000702R,,89.0000,
1000754,1000754,,16.0000,
1000798,1000798,,26.0000,
1000798b,1000798b,,0.0000,
1000838,1000838,,12.0000,
1000850,1000850,,0.0000,
1000851,1000851,,7.0000,
1000861,1000861,,8.0000,
1000890,1000890,,3.0000,
1000900,1000900,,29.0000,
1000908,1000908,,0.0000,
1000909,1000909,,25.0000,
1000927,1000927,,6.0000,
1000980,1000980,,4.0000,
1001145,1001145,,0.0000,
1001146,1001146,,0.0000,
1001180,1001180,,30.0000,
1001465,1001465,,0.0000,
1002112,1002112,,20.0000,
1007,1007,,9.0000,
10101-09W26,SJ-TH098,,1.0000,
10101-2S625,TH097,,0.0000,
10101-43G27,TH094,"2.7 8v TD (TD27)",-1.0000,
10101-EN228,JR-TH099,,1.0000,
10101-T9025,SJ-TH090,,1.0000,
10101-W1725,SJ-TH092,,1.0000,
10101-W2525,SJ-TH093,,1.0000,
1010100350,"SJ-FS 89025 GR",,1.0000,
1010100353,"SJ-FS 89022 GR",,1.0000,
1010100354,"SJ-FS 89022 MLS",,1.0000,
1010100368,1010100368,,0.0000,
1013,1013,,4.0000,
1015,1015,,1.0000,
1019,1019,,10.0000,
1019R,1019R,,10.0000,
1026,1026,,10.0000,
1026R,1026R,,0.0000,
1027,1027,,10.0000,
1035,1035,,0.0000,
1039N,1039N,,7.0000,
1040N,1040N,,29.0000,
1046R,1046R,,10.0000,
1047,1047,,1.0000,
1050R,1050R,,0.0000,
1066,1066,,13.0000,
1067,1067,,19.0000,
1069900,"TAPA DISTRIBUCION 1069900",,5.0000,
1075,1075,,9.0000,
1093,1093,,20.0000,
1098-P,1098/P,,0.0000,
10A0585,"10A 0585",,1.0000,
10A0655,"10A 0655",,1.0000,
10A0840C,"10A 0840C",,1.0000,
10A0900C,"10A 0900C",,0.0000,
10A1065C,"10A 1065C",,1.0000,
1104514,1104514,,0.0000,
11141-A78B01,TH011,,0.0000,
1136,1136,,15.0000,
1139,1139,,7.0000,
"114 SP+170H","114 SP+170H",,3.0000,
"1188 A","1188 A",,8.0000,
11A0790,"11A 790 C",,1.0000,
11A0915,"11A 0915",,1.0000,
11A1010,"11A 1010",,1.0000,
120,"168 SHPN220",,1.0000,
121SX180,"121 SX180",,3.0000,
123,123,,1.0000,
124,124,,1.0000,
124DF8220H,"124 P8SD220H",,1.0000,
12588992,12588992,,1.0000,
